,Adipocyte,Endothelial cell (lymphatic),Endothelial cell (vascular),Fibroblast,ICCs,Immune (B cell),Immune (DC/macrophage),Immune (NK cell),Immune (T cell),Immune (mast cell),Myocyte (smooth muscle),Neuronal,Pericyte/SMC,Schwann cell
LPP,2.4379303,0.0,0.0,0.0,2.326511,0.0,0.0,0.0,0.0,0.0,4.4330974,0.0,3.9338808,0.0
DLG1,0.0,1.81807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LDB2,0.0,2.870894,3.2984767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLIT2,0.0,0.0,0.0,2.6839328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KCNIP4,0.0,0.0,0.0,0.0,1.8480757,0.0,0.0,0.0,0.0,0.0,0.0,3.7587225,0.0,0.0
SEL1L3,0.0,0.0,0.0,0.0,0.0,2.6333194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBPJ,0.0,0.0,0.0,0.0,0.0,0.0,2.8716798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PCDH7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6882756,0.0,0.0,0.0
RBM47,0.0,0.0,0.0,0.0,0.0,0.0,3.0341067,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APBB2,2.491748,0.0,2.4890418,0.0,1.9462531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UCHL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.959148,0.0,0.0
LIMCH1,1.5721085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP8A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9804629,0.0,0.0
TXK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.909928,0.0,0.0,0.0,0.0,0.0,0.0
KIT,0.0,0.0,0.0,0.0,2.4256234,0.0,0.0,0.0,0.0,2.8716798,0.0,0.0,0.0,0.0
TMEM165,1.5945654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IGFBP7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6653924,0.0
ADGRL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9858663,0.0,0.0
PARM1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.214065,0.0,0.0
ARHGAP24,0.0,0.0,0.0,0.0,0.0,3.6790826,1.9302237,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAPK10,1.9777756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2015028,0.0,0.0
