,Adipocyte,Endothelial cell (lymphatic),Endothelial cell (vascular),Fibroblast,ICCs,Immune (B cell),Immune (DC/macrophage),Immune (NK cell),Immune (T cell),Immune (mast cell),Myocyte (smooth muscle),Neuronal,Pericyte/SMC,Schwann cell
ENSG00000163681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.926451,0.0,0.0,0.0
ENSG00000189283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.960883,0.0,0.0
ENSG00000144724,3.5948644,0.0,3.0696275,3.5442421,3.1345382,0.0,0.0,0.0,0.0,0.0,0.0,1.6299081,3.3491826,0.0
ENSG00000163618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6299081,0.0,0.0
ENSG00000163638,0.0,2.8302066,2.5316377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000151276,1.9274538,3.2169578,3.1274707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000114541,0.0,2.2065227,0.0,0.0,0.0,0.0,3.1025217,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000114861,1.9713649,2.9801917,2.6656942,0.0,3.2677622,2.9436815,2.8689322,2.4502406,2.664525,3.1147823,2.9373426,0.0,0.0,0.0
ENSG00000121440,2.1021698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2890182,0.0,0.0,0.0
ENSG00000114480,2.0293825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000175161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9804629,0.0,3.4503388
ENSG00000168386,1.8897898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000170017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5898882,0.0,0.0
ENSG00000114423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9992557,3.0904229,0.0,0.0,0.0,0.0,0.0
ENSG00000181722,2.3083653,2.7992365,2.68298,2.862814,3.0531344,2.8438175,0.0,0.0,2.5478854,3.0794706,2.0946388,0.0,2.6703749,3.085096
ENSG00000065534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0905898,0.0,0.0,0.0
ENSG00000160145,0.0,2.7805936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000172765,1.3979567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000196353,1.6891749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000118007,1.8285189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000181804,0.0,0.0,0.0,0.0,0.0,0.0,2.4237466,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000152601,1.9777756,1.9750978,2.2025757,0.0,2.5697627,3.0755208,2.611999,3.1063428,3.1220112,0.0,2.263401,0.0,2.3277655,0.0
ENSG00000169282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1243253,0.0
ENSG00000163660,1.8001418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000085276,0.0,0.0,2.9201388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000154310,0.0,0.0,0.0,0.0,2.2199435,0.0,0.0,0.0,0.0,2.4275053,0.0,0.0,0.0,0.0
ENSG00000075420,2.6369243,0.0,0.0,2.5434372,0.0,0.0,0.0,1.2180126,0.0,0.0,0.0,0.0,0.0,1.9496071
ENSG00000177694,0.0,0.0,0.0,0.0,1.8176379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000053524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5898882,0.0,0.0
ENSG00000181092,2.6414518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000113916,2.1758249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000145012,2.4379303,0.0,0.0,0.0,2.326511,0.0,0.0,0.0,0.0,0.0,4.4330974,0.0,3.9338808,0.0
ENSG00000075711,0.0,1.81807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000169744,0.0,2.870894,3.2984767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000145147,0.0,0.0,0.0,2.6839328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000185774,0.0,0.0,0.0,0.0,1.8480757,0.0,0.0,0.0,0.0,0.0,0.0,3.7587225,0.0,0.0
ENSG00000091490,0.0,0.0,0.0,0.0,0.0,2.6333194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000168214,0.0,0.0,0.0,0.0,0.0,0.0,2.8716798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000169851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6882756,0.0,0.0,0.0
ENSG00000163694,0.0,0.0,0.0,0.0,0.0,0.0,3.0341067,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000163697,2.491748,0.0,2.4890418,0.0,1.9462531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000154277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.959148,0.0,0.0
ENSG00000064042,1.5721085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000124406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9804629,0.0,0.0
ENSG00000074966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.909928,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000157404,0.0,0.0,0.0,0.0,2.4256234,0.0,0.0,0.0,0.0,2.8716798,0.0,0.0,0.0,0.0
ENSG00000134851,1.5945654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000163453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6653924,0.0
ENSG00000150471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9858663,0.0,0.0
ENSG00000169116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.214065,0.0,0.0
ENSG00000138639,0.0,0.0,0.0,0.0,0.0,3.6790826,1.9302237,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000109339,1.9777756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2015028,0.0,0.0
ENSG00000172493,1.5422547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000152583,0.0,0.0,2.4317555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9642171,0.0,3.0341105,0.0
ENSG00000138722,0.0,3.1303434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000184305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9804629,0.0,0.0
ENSG00000196616,2.1892056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000138814,1.9592274,2.1053293,0.0,0.0,0.0,2.9020646,0.0,2.4434805,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000153064,0.0,0.0,0.0,0.0,0.0,3.8969278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000145362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0814521,0.0,2.6703744
ENSG00000145349,1.2179898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000172403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0492969,0.0,0.0,0.0
ENSG00000138735,1.5754439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000196782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5504875,0.0,0.0,0.0,0.0
