,Endothelia,Fibroblast,Lymphocyte,MP & DC,Mural cell,Neutrophil
IGFBP5,0.0,0.0,0.0,0.0,1.0,0.0
ARPC2,0.0,0.4216247916221619,0.6226479172706604,0.5806272745132446,0.4,0.0
SERPINE2,0.0,1.0,0.0,0.0,0.0,0.0
NCL,0.0,0.6,0.7679754972457886,0.6569740414619446,0.0,0.0
PTMA,0.05144654512405396,0.0,0.1788865804672241,0.10379010438919067,0.08784456253051758,0.02279907464981079
EFHD1,0.0,0.0,0.0,0.0,1.0,0.0
ARL4C,0.0,0.0,1.0,0.0,0.0,0.0
ACKR3,0.0,1.0,0.0,0.0,0.0,0.0
COL6A3,0.0,1.0,0.0,0.0,0.0,0.0
LRRFIP1,0.0,0.0,0.0,1.0,0.0,0.0
SEPTIN2,0.0,0.8731989026069641,0.0,0.8,0.0,0.0
ARPC4,0.0,0.0,0.0,1.0,0.0,0.0
BRK1,0.0,0.8227039575576782,0.0,0.8,0.0,0.0
RPL32,0.054449045658111574,0.02922837734222412,0.21507279872894286,0.15183508396148682,0.03156601190567017,0.0
FBLN2,0.0,1.0,0.0,0.0,0.0,0.0
RPL15,0.2,0.20859158039093018,0.30356721878051757,0.2853449463844299,0.2224871039390564,0.0
RBMS3,0.0,1.0,0.0,0.0,0.0,0.0
CMTM6,0.0,0.0,0.0,1.0,0.0,0.0
CSRNP1,0.0,0.0,0.0,1.0,0.0,0.0
RPSA,0.2069699764251709,0.24421970844268798,0.47296069860458373,0.2699970602989197,0.2,0.0
EIF1B,0.0,0.0,0.0,1.0,0.0,0.0
RPL14,0.2,0.21286271810531615,0.38086519241333006,0.2687503695487976,0.2450299382209778,0.0
CTNNB1,0.0,0.0,0.0,1.0,0.0,0.0
NKTR,1.0,0.0,0.0,0.0,0.0,0.0
ABHD5,0.0,0.0,0.0,1.0,0.0,0.0
TMA7,0.0,0.4498253583908081,0.6000205755233765,0.4488551616668701,0.4,0.0
RHOA,0.21967118978500366,0.296134352684021,0.2,0.3159983277320862,0.20647695064544677,0.0
GNAI2,0.5212676167488098,0.4,0.46240217685699464,0.5550449967384339,0.0,0.0
HYAL2,1.0,0.0,0.0,0.0,0.0,0.0
RPL29,0.2092111349105835,0.2,0.3243465542793274,0.29027022123336793,0.20749115943908691,0.0
