,Endothelia,Fibroblast,Lymphocyte,MP & DC,Mural cell,Neutrophil
BTF3,1.6752777,1.8763218,2.0940146,2.0005043,2.0963583,0.0
NSA2,0.0,0.0,0.0,0.75018215,0.0,0.0
TBCA,0.0,0.9434675,0.0,0.9187901,0.0,0.0
ZFYVE16,0.0,0.0,0.0,0.6053269,0.0,0.0
RPS23,2.7963428,2.7642841,3.4162529,3.234316,2.6369243,0.0
VCAN,0.0,2.143825,0.0,0.0,0.0,0.0
COX7C,0.0,1.6804118,1.7930106,1.6321673,2.0682352,0.0
MEF2C,0.0,0.0,0.0,1.0872104,1.5189892,0.0
ENSG00000248323,0.0,0.0,0.0,0.5085039,0.0,0.0
GLRX,0.0,0.0,0.0,0.59300685,0.0,0.0
ENSG00000153113,0.0,1.2002369,0.0,1.1539241,0.0,0.0
CHD1,0.0,0.0,0.0,1.0063176,0.0,0.0
REEP5,0.0,0.7246182,0.0,0.7156316,0.0,0.0
SNX2,0.0,0.0,0.0,0.7824087,0.0,0.0
PPIC,0.0,1.0473677,0.0,0.0,0.0,0.0
HINT1,0.0,1.370602,1.6233417,1.1109974,1.3799901,0.0
IRF1,0.0,0.0,1.2841642,0.0,0.0,0.0
UQCRQ,0.0,0.74297076,0.0,0.7125299,0.0,0.0
SKP1,0.0,1.7579904,1.5986459,1.2789011,2.0937026,0.0
UBE2B,0.0,1.1303937,0.0,1.0723555,0.0,0.0
MACROH2A1,0.0,0.0,0.0,1.0641706,0.0,0.0
TGFBI,0.0,0.0,0.0,0.77089965,0.0,0.0
EGR1,0.0,0.0,0.0,0.64654315,0.0,0.0
ETF1,0.0,0.0,0.0,0.49360624,0.0,0.0
PAIP2,0.0,0.0,0.0,0.65705824,0.0,0.0
CD14,0.0,0.0,0.0,1.1036375,0.0,0.0
NDFIP1,0.0,1.1835759,0.0,0.51564157,0.0,0.0
ENSG00000249669,0.0,0.0,0.0,0.0,1.6052909,0.0
CSNK1A1,0.0,0.8354381,0.0,1.118744,0.0,0.0
CSF1R,0.0,0.0,0.0,1.0819939,0.0,0.0
PDGFRB,0.0,0.0,0.0,0.0,1.3634131,0.0
CD74,2.9520984,0.0,0.0,3.4924192,0.0,0.0
RPS14,2.7865267,2.7548006,3.6753266,3.2898316,2.795188,0.0
SPARC,0.0,1.8814908,0.0,0.0,2.3745885,0.0
EBF1,0.0,0.7601948,0.0,0.0,0.0,0.0
LCP2,0.0,0.0,0.0,0.4897105,0.0,0.0
NPM1,0.0,1.2440813,1.9302186,1.4403284,1.4044144,0.0
DUSP1,1.797827,0.0,0.0,2.4763355,0.0,2.4579778
ATP6V0E1,0.0,1.2778727,1.2681521,1.2350005,0.0,0.0
HIGD2A,0.0,0.0,0.0,0.9441387,0.0,0.0
PRELID1,0.0,0.0,0.0,0.85771763,0.0,0.0
TMED9,0.0,0.596596,0.0,0.0,0.0,0.0
HNRNPH1,0.0,0.7765617,1.2330298,1.2566473,0.0,0.0
CANX,0.0,0.900102,0.0,0.9240709,0.0,0.0
SQSTM1,0.0,1.2039261,0.0,1.187363,0.0,0.0
RNF130,0.0,0.0,0.0,1.1540478,0.0,0.0
MGAT1,0.0,0.0,0.0,1.1291533,0.0,0.0
BTNL9,1.0166775,0.0,0.0,0.0,0.0,0.0
RACK1,2.050332,2.1148846,2.6409476,2.5312867,2.143936,0.0
SERPINB1,0.0,0.0,0.0,1.1146662,0.0,0.0
SERPINB9,0.0,0.0,0.0,0.92297256,0.0,0.0
TMEM14C,0.0,1.0619375,0.0,0.0,0.0,0.0
PHACTR1,0.0,0.0,0.0,1.061721,0.0,0.0
CD83,0.0,0.0,0.0,1.9898113,0.0,0.0
DEK,0.0,0.0,0.0,0.8460885,0.0,0.0
C6orf62,0.0,0.0,0.0,0.8710505,0.0,0.0
HLA-F,0.0,0.0,1.331182,0.0,0.0,0.0
HLA-A,3.142367,1.80183,3.4000916,2.4196358,1.0746653,2.3448486
HLA-E,3.180563,1.3273007,2.7058132,2.1166494,0.0,2.3148742
PPP1R10,0.0,0.0,0.0,0.9589216,0.0,0.0
TUBB,0.0,1.1927737,0.0,0.4838003,0.0,0.0
IER3,0.0,0.0,0.0,2.165864,0.0,0.0
HLA-C,2.6293712,1.2068739,2.9900029,2.0111284,0.91446465,0.0
HLA-B,3.8796358,1.7374343,4.0024023,3.305965,1.7971967,2.9554005
LST1,0.0,0.0,0.0,1.7975467,0.0,0.0
AIF1,0.0,0.0,0.0,2.4860497,0.0,0.0
DDAH2,0.0,1.457553,0.0,0.0,0.0,0.0
CLIC1,0.0,1.3996414,1.7063044,1.6173782,0.92087513,0.0
HSPA1A,0.0,0.0,0.0,2.3743896,0.0,0.0
HSPA1B,0.0,0.0,0.0,1.2676246,0.0,0.0
TNXB,0.0,2.3896635,0.0,0.0,0.0,0.0
GPSM3,0.0,0.0,1.0972807,0.97221524,0.0,0.0
HLA-DRA,1.6642632,0.0,0.0,4.0213814,0.0,0.0
HLA-DRB5,0.0,0.0,0.0,2.0231237,0.0,0.0
HLA-DRB1,2.1747873,0.0,0.0,3.0673711,0.0,0.0
HLA-DQA1,0.0,0.0,0.0,1.5885432,0.0,0.0
