,B_CD27neg,B_CD27pos,Blood_vessel,Dendritic_Cells,Epi_basal,Epi_dividing,Epi_stratified,Epi_suprabasal,Epi_upper,Glands_duct,Glands_mucous,Lymph_vessel,Mast_cell,Mono_macro,NK_T_CD8_Cytotoxic,Stroma,T_CD4,T_CD8
TMED9,0.0,0.0,0.0,0.0,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.0,0.6470588235294118,0.7773189053815954,0.0,0.0,0.0,0.0,0.6470588235294118,0.0,0.0
NHP2,0.0,0.0,0.0,0.0,0.6470588235294118,0.8063246327288011,0.7556088917395648,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HNRNPAB,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HNRNPH1,0.0,0.0,0.0,0.0,0.0,0.9411764705882353,0.0,0.0,0.0,0.0,0.9411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANX,0.0,0.0,0.0,0.0,0.0,0.8823529411764706,0.0,0.0,0.0,0.8823529411764706,0.8823529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SQSTM1,0.0,0.0,0.0,0.0,0.6470588235294118,0.6470588235294118,0.0,0.6470588235294118,0.6470588235294118,0.7556088917395648,0.7556088917395648,0.0,0.0,0.0,0.0,0.6470588235294118,0.0,0.0
SCGB3A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9822923541069031,0.9411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MGAT1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RACK1,0.0641663670539856,0.0641663670539856,0.14461313626345465,0.14461313626345465,0.3255069431136636,0.40965140216490803,0.31333113768521476,0.36823831936892343,0.0641663670539856,0.30257391579010906,0.31333113768521476,0.0641663670539856,0.0,0.0,0.03662095700993257,0.14461313626345465,0.0641663670539856,0.0
GMDS,0.0,0.0,0.0,0.0,0.8823529411764706,0.0,0.0,0.0,0.8823529411764706,0.9493321671205408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
